公司,年/月,季別,合併(Y/N),月份,幣別,營業收入淨額,營業成本,營業毛利,聯屬公司已（未）實現銷貨利益,已實現銷貨毛利,營業費用,  研究發展費,  預期信用減損（損失）利益－營業費用,其他收益及費損淨額,營業利益,  利息收入,其他收入,其他利益及損失,財務成本,採權益法之關聯企業及合資損益之份額,預期信用減損（損失）利益,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,營業外收入及支出－其他,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
1216 統一,2023/12,4,Y,12,NTD,581102935.00 ,393289237.00 ,187813698.00 ,0.00 ,187813698.00 ,159172864.00 ,1021795.00 ,72778.00 ,0.00 ,28640834.00 ,4744321.00 ,9856555.00 ,11116235.00 ,3490792.00 ,2568114.00 ,0.00 ,0.00 ,0.00 ,0.00 ,20050112.00 ,48690946.00 ,18404797.00 ,30286149.00 ,0.00 ,0.00 ,0.00 ,30286149.00 ,449392.00 ,(2527580.00),0.00 ,(2078188.00),28207961.00 ,18336478.00 ,11949671.00 ,0.00 ,17032800.00 ,11175161.00 ,0.00 ,3.23 ,5682015.00 ,0.00 ,18336478.00 ,3.21 ,5708710.00 ,52181738.00 ,90972681.00 ,18996693.00 
1217 愛之味,2023/12,4,Y,12,NTD,4900038.00 ,3486325.00 ,1413713.00 ,0.00 ,1413713.00 ,1284939.00 ,48171.00 ,1994.00 ,0.00 ,128774.00 ,4470.00 ,62704.00 ,14452.00 ,132766.00 ,187988.00 ,(410.00),0.00 ,0.00 ,0.00 ,131968.00 ,260742.00 ,43142.00 ,217600.00 ,0.00 ,0.00 ,0.00 ,217600.00 ,44844.00 ,(6740.00),0.00 ,38104.00 ,255704.00 ,200936.00 ,16664.00 ,0.00 ,246897.00 ,8807.00 ,0.00 ,0.41 ,494513.00 ,0.00 ,200936.00 ,0.41 ,494829.00 ,393508.00 ,524469.00 ,178387.00 
